Line,Artist,Life,Nationality,Title,Creation Date,Number,Of,Print Date,Medium,Type,Color / B&W,Qty,Height,Width,Depth,Height,Width,Depth,Signed,Presentation,Protection,Condition,Location Address,Room,Acquisition Date,Seller,Lot No.,Provenance Notes,Extra 1,Improvements,Expenses,Shows,Extra 1,Disposition Date,Buyer,Sale Amount,Realized Gain / (Loss),Provenance Notes,Extra 1,Estimated Valuation,image URL
61,"Gaudet, Mitchell",b. 1962,American,"Glass Daggers: Envy, Bitch, Homo, Lust",2004,,,,Sculpture,Cast glass with inclusions,Color,,14,6,1,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,9-Dec-10,"Arthur Roger Gallery, New Orleans",,"Arthur Roger Gallery, New Orleans",,,,,,,,,,,,,
62,"Giacomelli, Mario",1925-2000,Italian,"Il Mare Dei miei Racconti, A Series of 10 Photographs",1992,,,,Photograph,Silver Print,Black & White,10,12.25,15.5,,,,,"Each signed in pencil and stamped with series title and with two photographer's stamps, on the reverse.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,12-Nov-07,"Sotheby's, London, New Bond Street",114,,,,,,,,,,,,,,
63,"Gobel, James",b. 1972,American,"Untitled, Interior Still Life",,,,,Painting,Felt on Panel,Color,,,,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,5-Dec-08,Schaeffer Projects,,,,,,,,,,,,,,,
64,"Goddard, Steve",b. 1959,British,Kunst I,2007,,,,Painting,Gouache and pencil on paper,Color,,,,,,,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,26-Jun-07,"Fine Arts Society, London",,,,,,,,,,,,,,,
65,"Goddard, Steve",b. 1959,British,Kunst II,2007,,,,Painting,Gouache and pencil on paper,Color,,,,,,,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,26-Jun-07,"Fine Arts Society, London",,,,,,,,,,,,,,,
66,"Greenberg, Jill",b. 1967,American,Untitled (Ursin 292-1),2008,1,7,2010,Photograph,Archival Pigment Print,Color,,43,50,,44,52,,"Signed and numbered on label, verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,11-Feb-10,"ClampArt, New York",,"ClampArt, New York",,,,,,,,,,,,,
67,"Gualdoni, Dan",b. 1943,American,Aer/Eire Series #91,2005,,,,Painting,Mixed media on panel,Color,,17,15,,,,,Signed and dated on verso,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,2-Sep-06,"Davidson Contemporary, Seattle",,,,,,,,,,,,,,,
68,"Gualdoni, Dan",b. 1943,American,Aer/Eire Series #92,2005,,,,Painting,Mixed media on panel,Color,,17,15,,,,,Signed and dated on verso,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,2-Sep-06,"Davidson Contemporary, Seattle",,,,,,,,,,,,,,,
69,"Gutmann, John",1905-1998,American,"The Swimmer, San Francisco",1934,,,,Photograph,Gelatin Silver Print,Black & White,,13,10.125,,23,19.25,,"Signed, titled and dated in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bathroom,28-Apr-15,Bonham's,49,"Fraenkel Gallery, San Francisco",,,,,,,,,,,,,
70,"Hilliard, David",b. 1964,American,The Lucky Coin,1995,8,10,2001,Photograph,Chromogenic Print,Color,,48,20,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,9-Mar-02,Mark Moore Gallery,,,,,,,,,,,,,,,
71,"Hofer, Candida",b. 1944,German,"Campo Santo, Pisa",1985,6,6,,Photograph,Chromogenic Print,Color,,14.5,22,,26,33,,"Signed, titled, dated and numbered 6/6 in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,25-Oct-16,"Bonhams, New York",68,"Nicole Klagsburn Gallery, New York",,,,,,,,,,,,,
72,"Hofer, Candida",b. 1944,German,Kunsthal Rotterdam II,2000,1,6,,Photograph,Color Coupler Print,Color,,23.5,23.375,,,,,"Signed in ink on the reverse of the flush-mount; typed title, date and numer 1/6 on a label affixed to the reverse of the flush-mount.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,9-Apr-08,Phillips de Pury & Company,375,"Karyn Lovegrove Gallery, Los Angeles",,,,,,,,,,,,,
73,"Hollander, Tanja",,American,Portrait of Milo Miloscia + John Nelson,2017,1,1,2017,Photograph,,Color,,,,,27.75,27.25,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,1-Jul-17,Artist,,Gift from the Artist,,,,,,,,,,,,,
74,"Horst, Horst P.",1906-1999,German-American,"Male Nude I, New York",1952,16,25,,Photograph,Selenium-toned gelatin silver print,Black & White,,20,16,,28.625,24.75,,"Signed in pencil in the margin; signed, titled, dated & numbered 16/25 in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,28-Oct-14,"Bonhams, New York",94,,,,,,,,,,,,,,
75,"Hoyningen-Huene, George",1900-1968,American (b. Russia),"Horst Torso, Paris, 1931",1931,,,,Photograph,Gelatin Silver Print,Black & White,,7.875,9.75,,,,,"Stamped with photographer's credit and inscribed ""from the collection of Horst in pencil (verso); credited, titled and dated on affixed exhibition labels (frame backing board)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",,14-Oct-20,"Christie's, New York",48,"Acquired from Christie's The Unseen Eye: Photographs from the W.M. Hunt Collection; acquired by W.M. Hunt from the Staley Wise Gallery, 1984; collection of Horst P. Horst",,,,,,,,,,,,,
76,"Jacobson, Bill",b. 1955,American,3775,2000,4,12,2002,Photograph,Chromogenic Print,Color,,20,24,,,,,Signed by the artist and mounted.,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Breakfast Room,8-Mar-02,G. Gibson Gallery,,,,,,,,,,,,,,,
77,"Johan, Simen",b. 1973,Norway,Untitled 95,2001,15,25,2005,Photograph,Chromogenic Print,Color,,15,15,,,,,"Titled, editioned in pen recto.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,17-Dec-05,Robert Koch Gallery,,,,,,,,,,,,,,,
78,"Kaneko, Jun",b. 1942,Japanese,Untitled (03-11-11),,,,,Sculpture,Glazed Ceramic,Color,,34,18.5,12.5,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Dining Room,14-May-11,"Gebert Contemporary, Santa Fe",,"Gebert Contemporary, Santa Fe, NM",,,,,,,,,,,,,
79,"Kuhn, Mona",b. 1969,Brazilian,Comer,2009,3,8,2009,Photograph,Chromogenic Print,Color,,30,30,,,,,"Signed, dated and numbered on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,12-Dec-09,"M+B Gallery, Los Angeles",,"M+B Gallery, Los Angeles",,,,,,,,,,,,,
80,"Kuhn, Mona",b. 1969,Brazilian,Doppelganger,2009,7,8,2009,Photograph,Chromogenic Print,Color,,30,30,,,,,"Signed, dated and numbered on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,12-Dec-09,"M+B Gallery, Los Angeles",,"M+B Gallery, Los Angeles",,,,,,,,,,,,,
81,"Kuhn, Mona",b. 1969,Brazilian,George,2003,AP,,2003,Photograph,Chromogenic Print,Color,,20,20,,27.75,27.5,,"Signed, titled, dated and editioned in pencil on mount verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bathroom,8-Oct-10,George Eastman House Charity Auction,1945054,"George Eastman House Charity Auction, October 8, 2010",,,,,,,,,,,,,
82,"Machida Gaikotsu, Sush",b. 1973,Japan,New School Pollack Speaks No Evil,2008,,,,Drawing,"Pencil, ink on paper",Color,,12.75,15.25,,,,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,27-Sep-08,Las Vegas Collects Contemporary Gala,,,,,,,,,,,,,,,
83,"Machida Gaikotsu, Sush",b. 1973,Japan,Ricken 620,2008,,,,Drawing,"Pencil, ink on paper",Color,,15.25,12.75,,,,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,27-Sep-08,Las Vegas Collects Contemporary Gala,,,,,,,,,,,,,,,
84,"Mann, Sally",b. 1951,American,Sorry Game from Immediate Family,1989,6,25,,Photograph,Gelatin Silver Print,Black & White,,19.5,23.375,,29.5,32.5,,"Signed, titled, dated, numbered 6/25 and copyright in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,9-Apr-11,Phillips de Pury & Company,156,"Phillips De Pury Photographs Auction, April 9, 2011",,,,,,,,,,,,,
85,"Mann, Sally",b. 1951,American,Jessie,1984,5,25,,Photograph,Gelatin Silver Print,Black & White,,19.5,23.25,,29.5,32.5,,"Signed, dated, and numbered 5/25 in pencil on verso",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,4-Oct-12,Swann Auction Galleries,195,,,,,,,,,,,,,,
86,"Mann, Sally",b. 1951,American,Jessie at 6.,1988,9,25,,Photograph,Gelatin Silver Print,Black & White,,8,10,,,,,"Signed, titled, dated, edition notation and technical notations in pencil, on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bar,17-Oct-14,Swann Auction Galleries,327,"From the artist to her attorney Ed De Grazia who rep'd her on obsecenity charges, with Houk Friedman label on verso",,,,,,,,,,,,,
87,"Mann, Sally",b. 1951,American,The Alligator's Approach,1988,4,25,,Photograph,Gelatin Silver Print,Black & White,,19.5,23.5,,29.5,32.5,,"Signed, titled, dated, numbered 4/25 and copyright in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,1-Oct-13,Phillips,105,"Phillips Photographs Auction, September 30, 2013, New York (NY040313)",,,,,,,,,,,,,
88,"Mann, Sally",b. 1951,American,Sheet Changing Day,1994,3,25,,Photograph,Gelatin Silver Print,Black & White,,8,10,,19,20.5,,"Signed, dated, numbered 3/25 and edition notations in pencil (on the verso)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bar,3-Apr-14,"Christie's, New York",188,"Christie's, New York",,,,,,,,,,,,,
89,"Mann, Sally",b. 1951,American,At Charlie's Farm,1990,7,25,,Photograph,Gelatin Silver Print,Black & White,,8,10,,19,20.5,,"Signed, dated, numbered 7/25 and edition notations in pencil (on the verso)",Framed,,Very Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bar,3-Apr-14,"Christie's, New York",218,"Christie's, New York",,,,,,,,,,,,,
90,"Mann, Sally",b. 1951,American,The Last Time Emmett Modeled Nude,1987,17,25,,Photograph,Gelatin Silver Print,Black & White,,8,10,,19,20.5,,"Signed, dated, numbered 17/25 and edition notations in pencil (on the verso)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bar,17-Jul-14,Artnet Auctions Private Sale,100567,"Artnet Auctions, from David Restrepo",,,,,,,,,,,,,
91,"Mann, Sally",b. 1951,American,Dog Scratches,1991,7,25,,Photograph,Gelatin Silver Print,Black & White,,19,23,,29.5,32.5,,"Signed, titled, dated and numbered 7/25 with edition information, all in pencil (verso); credited, titled, dated and numbered on affixed gallery label (frame backing board)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,5-Oct-18,"Christies, New York",236,,,,,,,,,,,,,,
92,"Mann, Sally",b. 1951,American,Listneing to Madonna by the Tadpole Jar,1990,12,25,,Photograph,Gelatin Silver Print,Black & White,,19,23,,29.5,32.5,,"Signed, titled, dated and numbered 12/25 with edition information, all in pencil (verso); credited, titled, dated and numbered on affixed gallery label (frame backing board)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,5-Oct-18,"Christies, New York",239,"Edwynn Houk Gallery, acquired by prior owner 2003",,,,,,,,,,,,,
93,"Mann, Sally",b. 1951,American,The Wet Bed,1987,8,25,,Photograph,Gelatin Silver Print,Black & White,,8,10,,19,20.5,,"Signed, titled, dated and edition numbered 8/25, and printing notations, in pencil on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,18-Oct-18,Swann Auction Galleries,300,"From Houk/Friedman Gallery, New York; to Paul Cava Fine Art, Philadelphia; to prior owner in 1995",,,,,,,,,,,,,
94,"Mapplethorpe, Robert",1946-1989,American,Christopher Holly,1980-1981,4,10,1981,Photograph,Gelatin Silver Print,Black & White,,15.25,19.25,,,,,"Signed and dated to verso ""1981 Robert Mapplethorpe"".  Signed, dated and numbered to lower edge ""4/10 Robert Mapplethorpe 81.""",Framed,,Fine,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Storage,4-Jun-20,"Wright, Chicago",107,Acquired directly from the artist; collection of Mark Isaacson and Greg Nacozy,,,,,,,,,,,,,
95,"Mapplethorpe, Robert",1946-1989,American,Gardenia,1979,1,10,1979,Photograph,Gelatin Silver Print,Black & White,,17.75,13.375,,,,,"Signed, dated and numbered 1/10 in pencil in the margin; signed, dated in ink and copyright credit reproduciton limitation stamp on the reverse of the flush-mount",,,,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Storage,13-Jul-20,"Phillips, New York",111,,,,,,,,,,,,,,
96,"McBride, Will",b. 1931,American,"Boys, Berlin, A Series of 2 Photographs","1956, 1959",,30,1992,Photograph,Silver Gelatin Photograph,Black & White,2,14.5,22,,,,,"Signed, titled, dated and numbered from an edition of 30 in pencil on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,12-Nov-07,"Sotheby's, London, New Bond Street",168,,,,,,,,,,,,,,
97,"McBride, Will",b. 1931,American,A Quick Rest in Les Baux,1978,,,,Photograph,Silver Gelatin Photograph,Black & White,,20,24,,29.5,36,,"Signed, titled and dated on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,28-Dec-12,"Holden Luntz Gallery, Palm Beach FL",,Directly from the Artist via Holden Luntz Gallery,,,,,,,,,,,,,
98,"McBride, Will",b. 1931,American,Nude Cathy and Michel in Les Baux,1976,,,,Photograph,Silver Gelatin Photograph,Black & White,,24,17.75,,36,29.5,,"Signed, titled and dated on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,28-Dec-12,"Holden Luntz Gallery, Palm Beach FL",,Directly from the Artist via Holden Luntz Gallery,,,,,,,,,,,,,
99,"McBride, Will",b. 1931,American,"Boys Wrestling At Jan's Place, Berlin 1959",1959,,,,Photograph,Gelatin Silver Print,Black & White,,13.75,20.5,,30.75,35.75,,"Signed, titled and dated on verso",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,7-Nov-13,Phillips,13,"Acquired directly from the photographer, to Phillips Photographs, 11/07/2013 (UK0402130)",,,,,,,,,,,,,
100,"McBride, Will",b. 1931,American,"Romy In Paris, 1964",1964,,,,Photograph,Gelatin Silver Print,Black & White,,13.75,20.5,,30.75,35.75,,"Signed, titled and dated on verso",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,7-Nov-13,Phillips,13,"Acquired directly from the photographer, to Phillips Photographs, 11/07/2013 (UK0402130)",,,,,,,,,,,,,
101,"McBride, Will",b. 1931,American,"Mike Whilst Taking A Shower In Schloss, Schule Salem, 1962",1962,,,,Photograph,Gelatin Silver Print,Black & White,,20.5,13.75,,37.375,29.5,,"Signed, titled and dated on verso",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bathroom,7-Nov-13,Phillips,13,"Acquired directly from the photographer, to Phillips Photographs, 11/07/2013 (UK0402130)",,,,,,,,,,,,,
102,"McBride, Will",b. 1931,American,Ins Licht schauen beim Waschen,1963,,,2014,Photograph,Gelatin Silver Print,Black & White,,24,20,,37.25,29.75,,"Signed, titled and dated and numbered on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,15-May-15,"ClampArt, New York",,,,,,,,,,,,,,,
103,"McBride, Will",b. 1931,American,Einer Greift nach Seife und berurht Mike,1963,,,2014,Photograph,Gelatin Silver Print,Black & White,,24,20,,37.25,29.75,,"Signed, titled and dated and numbered on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,15-May-15,"ClampArt, New York",,,,,,,,,,,,,,,
104,"McBride, Will",b. 1931,American,"Stoeffie, Magda, Evi Are Eating Popcorn on Strandbad Wannsee, Berlin",1959,,,,Photograph,Gelatin Silver Print,Black & White,,20.5,13.75,,37.375,29.5,,"Signed, titled and dated on verso",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bathroom,7-Nov-13,Phillips,13,"Acquired directly from the photographer, to Phillips Photographs, 11/07/2013 (UK0402130)",,,,,,,,,,,,,
105,"McDonnell, Dirk",,American,"Convent Interior Courtyard, Oaxaca, Mexico",2006,1,30,2008,Photograph,Gelatin Silver Print,Black & White,,20,20,,,,,Signed on verso.,Framed,,Excellent,"Don Nelson Residence, Charlottesville, VA",Spare Room,28-May-08,"Throckmorton Fine Art, Inc.",,"Shipped from the Artist to Charlottesville, VA",,,,,,7/1/08,Gift to Don Nelson,,,,,,
106,"McGinley, Ryan",b. 1977,American,Tracey (Drizzle),2009,,,,Photograph,Chromogenic Print,Color,,39.25,25.625,,,,,"Signed in ink, printed title, date and number 3/3 on a gallery label affixed to the reverse of the frame",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,2-Apr-15,Phillips,298,"Team Gallery, NY",,,,,,,,,,,,,
107,"McGinley, Ryan",b. 1977,American,Whirlwind,2003,3,6,2003,Photograph,Chromogenic Print,Color,,27,40,,27,40,,"Signed in ink, printed title, date and number 3/6 on a gallery label accompanying the work",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Dining Room,3-Apr-13,Phillips,130,"Ratio 3 Contemporary Art, San Francisco",,,,,,,,,,,,,
108,"McGinley, Ryan",b. 1977,American,Coley (Running Rainbow),2007,,3,,Photograph,Chromogenic Print,Color,,48,72,,48,72,,"Signed on label, affixed to verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,18-May-17,Artnet Auctions,,"Team Gallery, NY",,,,,,,,,,,,,
109,"McGinley, Ryan",b. 1977,American,The Boy With The Thorns In His Side,2011,3,3,,Photograph,Chromogenic Print,Color,,30,45,,32,48,2.8,Accompanied by a certificate of authenticity,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,31-Aug-17,Artnet Auctions,,"Team Gallery, NY",,,,,,,,,,,,,
110,"McGinley, Ryan",b. 1977,American,Aki In The Hot Springs,2001,1,6,2002,Photograph,Chromogenic Print,Color,,39.75,29.75,,39.75,29.75,,"Signed, titled, dated 2001/2002 and editioned 1/6 in ink on a label and with a Peter Hay Halpert Fine Art label on the reverse of the mount",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,27-Jun-19,"Sotheby's, New York",3,"Acqured by the present owner from Peter Hay Halpert Fine Art, NY in 2002",,,,,,,,,,,,,
111,"Migliori, Nino",b. 1926,Italian,Il Tuffatore 1951,1951,,,,Photograph,Gelatin Silver Print,Black & White,,40,52,,,,,"Signed, titled and dated by artist on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,14-Nov-14,"Keith De Lellis Gallery, New York",,,,,,,,,,,,,,,
112,"Milstein, Jeffrey",b. 1944,American,USA Airforce Lockheed Martin F-22A Raptor,2008,1,10,,Photograph,Archival Pigment Print,Color,,40,40,,44,44,,Signed in pencil on back of print and back of mat,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,11-Oct-09,The Center For Photography At Woodstock,22,"Bonni Benrubi Gallery, New York; Ambient Art Projects Show: Looking Up",,,,,,,,,,,,,
113,"Milstein, Jeffrey",b. 1944,American,British Airways Boeing 747-400,,5,10,,Photograph,Ultrachrome Pigment Inkjet Print,Color,,40,40,,44,44,,"Signed, titled and dated on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,27-Feb-10,"Bonni Benrubi Gallery, New York",,"Bonni Benrubi Gallery, New York; Ambient Art Projects Show: Looking Up",,,,,,,,,,,,,
114,"Milstein, Jeffrey",b. 1944,American,EVA Air Boeing 747-400,,3,10,,Photograph,Ultrachrome Pigment Inkjet Print,Color,,40,40,,44,44,,"Signed, titled and dated on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,27-Feb-10,"Bonni Benrubi Gallery, New York",,"Bonni Benrubi Gallery, New York; Ambient Art Projects Show: Looking Up",,,,,,3/30/11,Traded with Tim Bavington for a work to be named,,,,,,
115,"Milstein, Jeffrey",b. 1944,American,Sikorsky S-64E Helitanker,,3,10,,Photograph,Ultrachrome Pigment Inkjet Print,Color,,40,40,,44,44,,"Signed, titled and dated on verso",Framed,,Excellent,"Bavington Residence, Las Vegas, NV",Dining Room,11-Mar-11,"Bonni Benrubi Gallery, New York",,Donated by the Artist and courtesy Paul Kopeikin Gallery and Bonni Benrubi Gallery to The Center For Photography at Woodstock 31st Annual Benefit Auction,,,,,,,,,,,,,
116,"Misrach, Richard",b. 1949,American,"Drive In Theatre, Las Vegas, NV",1987,18,25,,Photograph,Chromogenic Print,Color,,20,24,,,,,Signed on verso.,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,15-Dec-06,G. Gibson Gallery,,,,,,,,,,,,,,,
117,"Misrach, Richard",b. 1949,American,Battleground Point #7,1999,8,25,2002,Photograph,Chromogenic Print,Color,,18.25,23.25,,27.25,31.25,,"Signed, titled, dated and edition numbered 8/25 in ink in the margin.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,28-Oct-08,"Bonhams, New York",208,,,,,,,,,,,,,,
118,"Misrach, Richard",b. 1949,American,Desert Croquet #1 (Deflated Earth),1987,6,10,,Photograph,Color Coupler Print,Color,,29.5,37.25,,41,48,,"Signed, titled, numbered 6/10 and copyright in pencil on the reverse of the mount",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,4-Oct-11,Phillips de Pury & Company,137,"Phillips De Pury Photographs Auction, October 4, 2011",,,,,,,,,,,,,
